Date,Year,Month,Latitude,Longitude,Precipitation_mm_per_day,Temperature_C,Temperature_Max_C,Temperature_Min_C,Humidity_Percent,Wind_Speed_ms,Pressure_kPa,Cloud_Cover_Percent
202302,2023,2,17.82703226502565,-97.80431094116672,0.11,15.32,30.76,2.1,66.9,2.95,80.47,18.8
202303,2023,3,17.82703226502565,-97.80431094116672,0.34,18.99,32.34,6.64,58.59,2.35,80.37,20.9
202304,2023,4,17.82703226502565,-97.80431094116672,1.34,20.43,33.89,10.27,57.53,2.4,80.32,33.94
202305,2023,5,17.82703226502565,-97.80431094116672,1.66,20.83,32.26,11.49,61.76,2.19,80.4,57.97
202306,2023,6,17.82703226502565,-97.80431094116672,1.07,21.5,33.36,12.03,63.24,2.53,80.36,44.36
202307,2023,7,17.82703226502565,-97.80431094116672,3.92,18.7,30.55,10.72,74.41,3.23,80.54,75.48
202308,2023,8,17.82703226502565,-97.80431094116672,7.64,18.27,28.39,10.05,78.5,2.64,80.47,76.32
202309,2023,9,17.82703226502565,-97.80431094116672,1.96,18.0,27.64,9.8,78.18,2.63,80.46,54.01
202310,2023,10,17.82703226502565,-97.80431094116672,2.79,17.27,27.09,7.51,80.56,2.71,80.34,72.11
202311,2023,11,17.82703226502565,-97.80431094116672,1.92,15.64,27.71,7.18,79.67,2.89,80.46,51.68
202312,2023,12,17.82703226502565,-97.80431094116672,0.73,13.55,25.48,-0.25,78.78,2.87,80.5,46.44
202313,2023,13,17.82703226502565,-97.80431094116672,1.98,17.76,33.89,-0.25,70.51,2.65,80.43,47.63
202401,2024,1,17.82703226502565,-97.80431094116672,0.36,15.75,28.7,5.07,68.86,2.4,80.47,28.72
202402,2024,2,17.82703226502565,-97.80431094116672,0.33,16.59,31.17,1.49,58.99,2.42,80.43,17.29
202403,2024,3,17.82703226502565,-97.80431094116672,0.16,20.59,33.73,8.82,50.23,2.28,80.36,19.09
202404,2024,4,17.82703226502565,-97.80431094116672,0.41,21.21,34.29,8.85,53.04,2.66,80.41,25.32
202405,2024,5,17.82703226502565,-97.80431094116672,0.99,23.92,36.48,14.1,49.45,2.14,80.31,40.78
202406,2024,6,17.82703226502565,-97.80431094116672,5.62,20.98,34.41,13.06,65.16,2.23,80.25,75.33
202407,2024,7,17.82703226502565,-97.80431094116672,5.69,18.22,26.9,10.94,79.05,2.65,80.51,78.26
202408,2024,8,17.82703226502565,-97.80431094116672,5.31,17.93,26.41,10.58,80.1,2.64,80.56,75.84
202409,2024,9,17.82703226502565,-97.80431094116672,7.54,18.15,26.2,11.52,84.41,1.77,80.28,87.19
202410,2024,10,17.82703226502565,-97.80431094116672,2.49,15.4,23.81,5.89,83.87,3.02,80.5,65.25
202411,2024,11,17.82703226502565,-97.80431094116672,0.32,15.6,25.97,2.35,77.68,2.31,80.38,29.11
202412,2024,12,17.82703226502565,-97.80431094116672,0.09,13.37,25.56,3.45,74.71,2.86,80.6,33.67
202413,2024,13,17.82703226502565,-97.80431094116672,2.44,18.14,36.48,1.49,68.84,2.45,80.42,48.09
202001,2020,1,17.866667,-97.783333,0.45,13.75,25.5,0.98,74.79,2.89,80.51,31.56
202002,2020,2,17.866667,-97.783333,0.25,15.42,29.78,2.53,68.96,3.01,80.47,23.0
202003,2020,3,17.866667,-97.783333,0.12,17.91,33.46,4.36,60.43,2.83,80.5,14.44
202004,2020,4,17.866667,-97.783333,1.12,21.55,33.22,10.94,56.93,2.27,80.42,39.67
202005,2020,5,17.866667,-97.783333,1.2,20.42,32.96,11.37,62.83,2.27,80.4,46.16
202006,2020,6,17.866667,-97.783333,4.53,18.9,29.42,8.89,72.81,2.68,80.4,70.78
202007,2020,7,17.866667,-97.783333,5.39,18.13,26.89,11.37,77.58,2.44,80.45,74.86
202008,2020,8,17.866667,-97.783333,6.95,17.3,25.56,10.27,81.23,2.59,80.4,79.07
202009,2020,9,17.866667,-97.783333,9.03,16.67,25.58,9.43,84.66,2.14,80.37,80.59
202010,2020,10,17.866667,-97.783333,1.62,14.99,24.79,3.42,79.98,2.49,80.39,50.65
202011,2020,11,17.866667,-97.783333,0.45,14.07,24.43,4.45,79.66,3.15,80.51,33.7
202012,2020,12,17.866667,-97.783333,0.13,13.58,24.46,1.83,76.22,2.38,80.47,36.17
202013,2020,13,17.866667,-97.783333,2.6,16.89,33.46,0.98,73.02,2.59,80.44,48.44
202101,2021,1,17.866667,-97.783333,0.52,14.16,27.66,5.51,74.98,2.59,80.45,49.85
202102,2021,2,17.866667,-97.783333,0.35,15.26,30.78,2.27,62.85,2.48,80.33,13.01
202103,2021,3,17.866667,-97.783333,0.49,17.44,32.15,6.09,61.47,2.97,80.42,17.43
202104,2021,4,17.866667,-97.783333,0.72,20.15,32.78,5.67,55.1,2.45,80.3,36.69
202105,2021,5,17.866667,-97.783333,3.84,19.32,29.42,10.24,69.89,2.57,80.42,60.22
202106,2021,6,17.866667,-97.783333,7.09,17.92,27.94,11.75,79.71,2.04,80.36,90.41
202107,2021,7,17.866667,-97.783333,4.49,17.17,26.32,9.1,80.8,2.72,80.53,71.54
202108,2021,8,17.866667,-97.783333,5.92,17.13,25.42,10.58,82.08,2.81,80.43,80.88
202109,2021,9,17.866667,-97.783333,8.34,17.19,24.78,10.18,84.13,1.95,80.4,84.39
202110,2021,10,17.866667,-97.783333,2.46,16.65,26.15,9.54,82.62,2.3,80.43,62.19
202111,2021,11,17.866667,-97.783333,0.64,13.3,22.62,3.48,80.43,2.97,80.56,28.43
202112,2021,12,17.866667,-97.783333,0.1,14.55,24.28,6.5,73.71,1.95,80.47,14.42
202113,2021,13,17.866667,-97.783333,2.92,16.69,32.78,2.27,74.06,2.48,80.43,51.0
202201,2022,1,17.866667,-97.783333,0.48,13.7,24.99,2.92,74.99,2.55,80.49,32.13
202202,2022,2,17.866667,-97.783333,0.22,13.9,28.39,2.4,69.86,2.97,80.48,25.73
202203,2022,3,17.866667,-97.783333,0.23,17.23,32.86,2.03,56.52,2.5,80.4,24.16
202204,2022,4,17.866667,-97.783333,0.85,20.09,33.47,6.2,56.04,2.53,80.33,35.82
202205,2022,5,17.866667,-97.783333,0.93,20.73,33.19,10.8,56.47,2.46,80.33,48.48
202206,2022,6,17.866667,-97.783333,3.83,18.04,29.47,10.28,73.7,3.29,80.36,81.67
202207,2022,7,17.866667,-97.783333,2.85,17.9,28.65,10.61,74.27,3.22,80.51,76.35
202208,2022,8,17.866667,-97.783333,6.05,17.49,26.45,9.8,78.12,2.47,80.44,78.55
202209,2022,9,17.866667,-97.783333,6.27,16.4,23.79,8.67,83.87,2.88,80.33,85.35
202210,2022,10,17.866667,-97.783333,1.58,16.38,25.84,7.62,80.86,2.48,80.43,57.0
202211,2022,11,17.866667,-97.783333,1.07,16.15,25.81,8.75,77.42,2.28,80.44,37.4
202212,2022,12,17.866667,-97.783333,0.57,13.82,25.39,5.32,75.87,2.7,80.49,30.67
202213,2022,13,17.866667,-97.783333,2.08,16.83,33.47,2.03,71.5,2.69,80.42,51.22
202301,2023,1,17.866667,-97.783333,0.09,14.56,26.76,0.71,67.54,2.49,80.49,16.6
202302,2023,2,17.866667,-97.783333,0.11,15.32,30.76,2.1,66.9,2.95,80.47,18.8
202303,2023,3,17.866667,-97.783333,0.34,18.99,32.34,6.64,58.59,2.35,80.37,20.9
202304,2023,4,17.866667,-97.783333,1.34,20.43,33.89,10.27,57.53,2.4,80.32,33.94
202305,2023,5,17.866667,-97.783333,1.66,20.83,32.26,11.49,61.76,2.19,80.4,57.97
202306,2023,6,17.866667,-97.783333,1.07,21.5,33.36,12.03,63.24,2.53,80.36,44.36
202307,2023,7,17.866667,-97.783333,3.92,18.7,30.55,10.72,74.41,3.23,80.54,75.48
202308,2023,8,17.866667,-97.783333,7.64,18.27,28.39,10.05,78.5,2.64,80.47,76.32
202309,2023,9,17.866667,-97.783333,1.96,18.0,27.64,9.8,78.18,2.63,80.46,54.01
202310,2023,10,17.866667,-97.783333,2.79,17.27,27.09,7.51,80.56,2.71,80.34,72.11
202311,2023,11,17.866667,-97.783333,1.92,15.64,27.71,7.18,79.67,2.89,80.46,51.68
202312,2023,12,17.866667,-97.783333,0.73,13.55,25.48,-0.25,78.78,2.87,80.5,46.44
202313,2023,13,17.866667,-97.783333,1.98,17.76,33.89,-0.25,70.51,2.65,80.43,47.63
202401,2024,1,17.866667,-97.783333,0.36,15.75,28.7,5.07,68.86,2.4,80.47,28.72
202402,2024,2,17.866667,-97.783333,0.33,16.59,31.17,1.49,58.99,2.42,80.43,17.29
202403,2024,3,17.866667,-97.783333,0.16,20.59,33.73,8.82,50.23,2.28,80.36,19.09
202404,2024,4,17.866667,-97.783333,0.41,21.21,34.29,8.85,53.04,2.66,80.41,25.32
202405,2024,5,17.866667,-97.783333,0.99,23.92,36.48,14.1,49.45,2.14,80.31,40.78
202406,2024,6,17.866667,-97.783333,5.62,20.98,34.41,13.06,65.16,2.23,80.25,75.33
202407,2024,7,17.866667,-97.783333,5.69,18.22,26.9,10.94,79.05,2.65,80.51,78.26
202408,2024,8,17.866667,-97.783333,5.31,17.93,26.41,10.58,80.1,2.64,80.56,75.84
202409,2024,9,17.866667,-97.783333,7.54,18.15,26.2,11.52,84.41,1.77,80.28,87.19
202410,2024,10,17.866667,-97.783333,2.49,15.4,23.81,5.89,83.87,3.02,80.5,65.25
202411,2024,11,17.866667,-97.783333,0.32,15.6,25.97,2.35,77.68,2.31,80.38,29.11
202412,2024,12,17.866667,-97.783333,0.09,13.37,25.56,3.45,74.71,2.86,80.6,33.67
202413,2024,13,17.866667,-97.783333,2.44,18.14,36.48,1.49,68.84,2.45,80.42,48.09
202001,2020,1,17.060816,-96.726588,0.47,14.86,27.63,2.19,71.25,2.27,80.87,52.02
202002,2020,2,17.060816,-96.726588,0.18,16.61,30.69,3.37,64.14,2.24,80.83,41.09
202003,2020,3,17.060816,-96.726588,0.03,19.24,32.93,5.48,55.58,1.85,80.86,23.28
202004,2020,4,17.060816,-96.726588,0.75,22.0,33.86,11.44,53.87,1.63,80.79,44.38
202005,2020,5,17.060816,-96.726588,2.36,20.0,32.01,11.04,66.4,1.46,80.78,58.2
202006,2020,6,17.060816,-96.726588,5.37,18.67,29.32,9.95,75.25,1.84,80.76,73.91
202007,2020,7,17.060816,-96.726588,5.14,18.08,26.44,11.97,79.84,1.53,80.82,73.31
202008,2020,8,17.060816,-96.726588,7.02,17.42,25.26,10.38,83.97,1.74,80.77,80.68
202009,2020,9,17.060816,-96.726588,7.54,16.9,25.61,9.46,84.84,1.47,80.73,81.36
202010,2020,10,17.060816,-96.726588,4.55,15.63,24.88,5.52,80.92,1.94,80.74,60.98
202011,2020,11,17.060816,-96.726588,0.58,14.71,25.2,5.62,80.9,2.9,80.84,50.69
202012,2020,12,17.060816,-96.726588,0.23,14.15,25.26,3.01,75.97,1.67,80.83,48.0
202013,2020,13,17.060816,-96.726588,2.86,17.35,33.86,2.19,72.78,1.88,80.8,57.36
202101,2021,1,17.060816,-96.726588,0.48,15.15,28.49,5.62,71.24,1.73,80.81,61.72
202102,2021,2,17.060816,-96.726588,0.13,16.13,31.86,2.82,58.58,1.86,80.7,31.25
202103,2021,3,17.060816,-96.726588,0.08,18.64,33.03,6.52,56.31,1.94,80.78,32.03
202104,2021,4,17.060816,-96.726588,1.0,20.42,33.93,5.27,54.77,1.82,80.67,48.69
202105,2021,5,17.060816,-96.726588,3.73,19.5,29.78,11.01,70.82,1.83,80.78,62.76
202106,2021,6,17.060816,-96.726588,9.61,17.59,27.13,11.59,82.6,1.57,80.74,86.77
202107,2021,7,17.060816,-96.726588,4.04,17.57,25.67,10.18,82.31,1.87,80.9,73.92
202108,2021,8,17.060816,-96.726588,5.28,17.35,24.82,11.44,84.38,1.8,80.81,81.62
202109,2021,9,17.060816,-96.726588,9.66,17.39,24.86,10.57,85.04,1.46,80.76,85.49
202110,2021,10,17.060816,-96.726588,1.92,16.96,26.42,10.06,82.79,1.72,80.79,65.08
202111,2021,11,17.060816,-96.726588,0.48,13.8,23.69,4.11,79.25,2.23,80.91,46.0
202112,2021,12,17.060816,-96.726588,0.11,15.69,25.74,5.87,69.76,1.33,80.83,26.47
202113,2021,13,17.060816,-96.726588,3.04,17.19,33.93,2.82,73.25,1.76,80.79,58.62
202201,2022,1,17.060816,-96.726588,0.48,14.93,26.91,4.91,70.0,1.83,80.84,47.85
202202,2022,2,17.060816,-96.726588,0.21,15.53,29.78,3.29,63.29,2.08,80.84,42.37
202203,2022,3,17.060816,-96.726588,0.15,18.39,33.16,3.68,52.92,1.64,80.76,36.61
202204,2022,4,17.060816,-96.726588,1.1,20.59,34.67,7.76,53.11,1.77,80.69,42.42
202205,2022,5,17.060816,-96.726588,1.5,21.02,34.12,10.09,54.81,1.66,80.7,55.02
202206,2022,6,17.060816,-96.726588,4.28,17.96,28.65,10.76,77.08,1.94,80.72,79.34
202207,2022,7,17.060816,-96.726588,2.81,18.13,27.91,10.82,76.97,1.85,80.87,78.9
202208,2022,8,17.060816,-96.726588,6.3,17.64,25.43,11.73,79.88,1.65,80.82,79.68
202209,2022,9,17.060816,-96.726588,8.09,16.57,23.82,8.77,86.41,2.14,80.69,91.64
202210,2022,10,17.060816,-96.726588,2.12,16.48,26.0,8.77,82.28,1.83,80.79,63.28
202211,2022,11,17.060816,-96.726588,0.95,16.38,25.82,8.11,78.78,1.62,80.81,51.99
202212,2022,12,17.060816,-96.726588,0.37,14.45,25.2,5.28,74.93,2.01,80.85,46.83
202213,2022,13,17.060816,-96.726588,2.37,17.35,34.67,3.29,70.9,1.83,80.78,59.73
202301,2023,1,17.060816,-96.726588,0.09,15.36,27.72,1.56,65.74,1.73,80.85,32.07
202302,2023,2,17.060816,-96.726588,0.08,16.3,31.48,4.1,62.21,2.09,80.83,37.93
202303,2023,3,17.060816,-96.726588,0.34,19.74,32.86,7.45,55.73,1.4,80.73,35.93
202304,2023,4,17.060816,-96.726588,0.42,20.97,34.24,10.18,54.91,1.64,80.69,47.99
202305,2023,5,17.060816,-96.726588,1.22,21.75,33.18,10.64,55.41,1.52,80.77,64.36
202306,2023,6,17.060816,-96.726588,3.98,21.0,31.81,12.74,67.92,1.46,80.73,56.13
202307,2023,7,17.060816,-96.726588,3.76,18.37,27.75,10.55,79.1,1.94,80.91,82.1
202308,2023,8,17.060816,-96.726588,6.47,18.52,27.98,11.4,79.8,1.72,80.83,74.93
202309,2023,9,17.060816,-96.726588,1.99,18.21,27.65,11.05,79.62,1.64,80.82,57.42
202310,2023,10,17.060816,-96.726588,2.57,17.77,27.42,7.64,79.06,1.95,80.71,79.37
202311,2023,11,17.060816,-96.726588,1.62,16.56,28.07,8.01,77.66,2.33,80.81,66.62
202312,2023,12,17.060816,-96.726588,0.73,14.16,27.24,-0.08,73.39,2.27,80.84,63.92
202313,2023,13,17.060816,-96.726588,1.95,18.23,34.24,-0.08,69.26,1.81,80.79,58.41
202401,2024,1,17.060816,-96.726588,0.34,16.59,30.27,4.06,64.86,1.74,80.83,47.2
202402,2024,2,17.060816,-96.726588,0.29,17.75,32.49,3.0,54.45,1.75,80.77,27.41
202403,2024,3,17.060816,-96.726588,0.55,21.15,35.47,8.97,50.24,1.57,80.72,40.15
202404,2024,4,17.060816,-96.726588,0.88,21.62,34.8,9.21,53.8,1.89,80.78,37.71
202405,2024,5,17.060816,-96.726588,0.82,24.14,36.45,14.47,49.27,1.52,80.68,46.77
202406,2024,6,17.060816,-96.726588,8.57,20.79,35.27,12.2,67.53,1.47,80.62,80.67
202407,2024,7,17.060816,-96.726588,5.27,18.26,26.51,11.21,81.44,1.56,80.88,78.99
202408,2024,8,17.060816,-96.726588,6.01,18.06,25.24,11.97,83.15,1.5,80.93,81.39
202409,2024,9,17.060816,-96.726588,9.54,18.23,27.02,11.85,85.15,1.3,80.66,87.85
202410,2024,10,17.060816,-96.726588,4.07,15.77,24.22,8.15,84.73,2.52,80.84,79.03
202411,2024,11,17.060816,-96.726588,0.58,15.6,24.88,1.19,77.26,1.71,80.75,40.92
202412,2024,12,17.060816,-96.726588,0.23,13.95,25.28,4.41,74.62,2.15,80.94,50.34
202413,2024,13,17.060816,-96.726588,3.09,18.49,36.45,1.19,68.93,1.72,80.78,58.33
202001,2020,1,16.8531,-99.8901,0.12,25.41,32.79,19.16,67.79,1.97,96.3,23.29
202002,2020,2,16.8531,-99.8901,0.09,25.68,33.83,20.18,64.29,2.07,96.28,21.2
202003,2020,3,16.8531,-99.8901,0.03,26.43,33.71,20.55,63.08,2.43,96.3,13.95
202004,2020,4,16.8531,-99.8901,0.13,26.91,34.97,21.24,58.31,2.32,96.19,19.1
202005,2020,5,16.8531,-99.8901,0.19,27.46,35.01,21.13,57.84,2.36,96.13,32.85
202006,2020,6,16.8531,-99.8901,7.22,26.67,34.68,22.55,74.05,2.41,96.14,71.19
202007,2020,7,16.8531,-99.8901,5.56,26.27,31.57,22.72,78.97,2.02,96.19,72.36
202008,2020,8,16.8531,-99.8901,16.68,25.78,31.87,22.36,82.92,2.24,96.16,79.09
202009,2020,9,16.8531,-99.8901,10.49,25.29,29.75,22.32,84.93,2.05,96.13,76.81
202010,2020,10,16.8531,-99.8901,2.87,25.58,30.85,20.48,80.63,1.96,96.09,68.01
202011,2020,11,16.8531,-99.8901,0.24,25.57,32.08,18.4,70.36,2.03,96.2,23.96
202012,2020,12,16.8531,-99.8901,0.11,25.03,31.64,20.22,71.35,1.88,96.3,28.58
202013,2020,13,16.8531,-99.8901,3.65,26.01,35.01,18.4,71.24,2.14,96.2,44.29
202101,2021,1,16.8531,-99.8901,0.05,25.43,32.91,18.63,67.21,1.91,96.26,37.6
202102,2021,2,16.8531,-99.8901,0.19,24.4,32.73,17.59,65.59,2.29,96.23,10.15
202103,2021,3,16.8531,-99.8901,0.49,25.5,33.1,20.22,63.37,2.23,96.25,16.95
202104,2021,4,16.8531,-99.8901,0.09,26.38,34.64,20.4,58.38,2.56,96.09,25.65
202105,2021,5,16.8531,-99.8901,1.45,27.34,34.45,20.87,64.73,2.39,96.17,48.37
202106,2021,6,16.8531,-99.8901,15.75,25.5,31.77,21.57,81.91,2.28,96.15,88.81
202107,2021,7,16.8531,-99.8901,7.33,26.0,30.88,22.47,81.03,1.95,96.27,75.61
202108,2021,8,16.8531,-99.8901,14.25,25.4,31.25,21.31,84.86,2.2,96.21,82.51
202109,2021,9,16.8531,-99.8901,10.82,25.36,30.56,22.42,83.52,1.81,96.17,80.1
202110,2021,10,16.8531,-99.8901,8.11,25.85,30.13,22.69,83.72,2.0,96.14,59.26
202111,2021,11,16.8531,-99.8901,0.17,24.93,30.41,19.22,75.25,1.52,96.3,22.43
202112,2021,12,16.8531,-99.8901,0.01,25.43,31.55,19.71,72.72,1.7,96.26,13.88
202113,2021,13,16.8531,-99.8901,4.91,25.64,34.64,17.59,73.58,2.07,96.21,47.0
202201,2022,1,16.8531,-99.8901,0.21,25.18,32.03,20.19,68.06,2.0,96.33,17.79
202202,2022,2,16.8531,-99.8901,0.02,25.68,33.22,20.72,64.06,2.2,96.32,18.42
202203,2022,3,16.8531,-99.8901,0.0,25.44,34.06,19.41,61.29,2.27,96.24,13.94
202204,2022,4,16.8531,-99.8901,0.24,26.48,35.04,20.22,60.01,2.5,96.09,23.36
202205,2022,5,16.8531,-99.8901,2.93,26.96,35.63,20.83,63.75,2.54,96.07,52.47
202206,2022,6,16.8531,-99.8901,14.55,25.28,30.92,22.02,82.0,2.43,96.13,82.5
202207,2022,7,16.8531,-99.8901,8.4,26.11,30.74,22.7,81.69,2.02,96.23,74.32
202208,2022,8,16.8531,-99.8901,6.64,25.72,31.37,22.39,81.94,1.77,96.21,72.96
202209,2022,9,16.8531,-99.8901,14.51,25.29,29.95,22.76,86.69,2.45,96.05,85.22
202210,2022,10,16.8531,-99.8901,5.11,25.4,30.24,22.19,84.24,1.92,96.17,55.64
202211,2022,11,16.8531,-99.8901,0.2,25.2,29.93,21.58,80.7,1.64,96.19,31.63
202212,2022,12,16.8531,-99.8901,0.09,24.69,30.74,19.92,70.27,1.65,96.29,18.46
202213,2022,13,16.8531,-99.8901,4.41,25.62,35.63,19.41,73.76,2.11,96.19,45.67
202301,2023,1,16.8531,-99.8901,0.0,25.18,32.4,20.02,65.79,1.95,96.34,11.43
202302,2023,2,16.8531,-99.8901,0.0,25.75,32.8,20.69,62.38,2.29,96.3,11.93
202303,2023,3,16.8531,-99.8901,0.01,25.89,34.35,20.59,63.82,2.37,96.22,12.74
202304,2023,4,16.8531,-99.8901,2.42,26.68,34.22,21.61,64.55,2.42,96.12,16.47
202305,2023,5,16.8531,-99.8901,3.22,27.71,35.4,21.97,70.58,2.22,96.09,38.52
202306,2023,6,16.8531,-99.8901,2.38,28.15,36.22,23.56,70.92,2.61,96.04,50.24
202307,2023,7,16.8531,-99.8901,4.59,27.58,33.91,24.04,75.61,2.05,96.21,71.09
202308,2023,8,16.8531,-99.8901,6.45,26.89,32.24,23.42,80.77,2.08,96.14,72.86
202309,2023,9,16.8531,-99.8901,4.81,26.91,32.18,23.83,81.06,1.96,96.13,59.21
202310,2023,10,16.8531,-99.8901,14.27,25.89,30.41,22.69,84.43,1.99,96.04,82.01
202311,2023,11,16.8531,-99.8901,1.47,26.12,31.19,21.08,77.44,1.65,96.12,42.35
202312,2023,12,16.8531,-99.8901,0.32,25.34,31.31,19.21,71.6,1.69,96.24,42.98
202313,2023,13,16.8531,-99.8901,3.36,26.51,36.22,19.21,72.48,2.1,96.17,42.91
202401,2024,1,16.8531,-99.8901,0.15,25.56,33.23,19.99,68.79,1.85,96.28,24.45
202402,2024,2,16.8531,-99.8901,0.2,25.56,33.09,19.51,68.31,2.57,96.26,18.21
202403,2024,3,16.8531,-99.8901,0.01,25.69,34.73,18.16,61.62,2.34,96.18,12.92
202404,2024,4,16.8531,-99.8901,0.03,26.76,34.92,20.6,58.9,2.39,96.16,13.42
202405,2024,5,16.8531,-99.8901,0.17,28.05,36.94,21.0,61.18,2.45,95.99,37.23
202406,2024,6,16.8531,-99.8901,2.17,27.0,35.42,22.78,72.3,2.71,95.98,73.45
202407,2024,7,16.8531,-99.8901,4.28,27.38,34.0,24.01,74.91,1.84,96.21,70.04
202408,2024,8,16.8531,-99.8901,6.07,26.69,31.62,23.62,80.51,1.9,96.28,75.48
202409,2024,9,16.8531,-99.8901,15.83,26.16,30.58,23.39,85.09,2.21,95.98,86.47
202410,2024,10,16.8531,-99.8901,3.39,25.94,30.76,21.03,80.76,1.85,96.18,53.41
202411,2024,11,16.8531,-99.8901,0.42,25.71,30.49,19.88,81.1,1.83,96.1,30.89
202412,2024,12,16.8531,-99.8901,0.03,25.27,32.23,19.53,68.82,1.68,96.32,36.94
202413,2024,13,16.8531,-99.8901,2.72,26.32,36.94,18.16,71.85,2.13,96.16,44.48
202001,2020,1,16.4333,-98.6,0.06,27.41,34.19,21.48,63.83,1.97,99.35,27.12
202002,2020,2,16.4333,-98.6,0.03,27.74,35.09,23.56,59.9,2.05,99.34,23.56
