Date,Year,Month,Latitude,Longitude,Precipitation_mm_per_day,Temperature_C,Temperature_Max_C,Temperature_Min_C,Humidity_Percent,Wind_Speed_ms,Pressure_kPa,Cloud_Cover_Percent
202112,2021,12,17.866667,-97.783333,0.1,14.55,24.28,6.5,73.71,1.95,80.47,14.42
202113,2021,13,17.866667,-97.783333,2.92,16.69,32.78,2.27,74.06,2.48,80.43,51.0
202201,2022,1,17.866667,-97.783333,0.48,13.7,24.99,2.92,74.99,2.55,80.49,32.13
202202,2022,2,17.866667,-97.783333,0.22,13.9,28.39,2.4,69.86,2.97,80.48,25.73
202203,2022,3,17.866667,-97.783333,0.23,17.23,32.86,2.03,56.52,2.5,80.4,24.16
202204,2022,4,17.866667,-97.783333,0.85,20.09,33.47,6.2,56.04,2.53,80.33,35.82
202205,2022,5,17.866667,-97.783333,0.93,20.73,33.19,10.8,56.47,2.46,80.33,48.48
202206,2022,6,17.866667,-97.783333,3.83,18.04,29.47,10.28,73.7,3.29,80.36,81.67
202207,2022,7,17.866667,-97.783333,2.85,17.9,28.65,10.61,74.27,3.22,80.51,76.35
202208,2022,8,17.866667,-97.783333,6.05,17.49,26.45,9.8,78.12,2.47,80.44,78.55
202209,2022,9,17.866667,-97.783333,6.27,16.4,23.79,8.67,83.87,2.88,80.33,85.35
202210,2022,10,17.866667,-97.783333,1.58,16.38,25.84,7.62,80.86,2.48,80.43,57.0
202211,2022,11,17.866667,-97.783333,1.07,16.15,25.81,8.75,77.42,2.28,80.44,37.4
202212,2022,12,17.866667,-97.783333,0.57,13.82,25.39,5.32,75.87,2.7,80.49,30.67
202213,2022,13,17.866667,-97.783333,2.08,16.83,33.47,2.03,71.5,2.69,80.42,51.22
202301,2023,1,17.866667,-97.783333,0.09,14.56,26.76,0.71,67.54,2.49,80.49,16.6
202302,2023,2,17.866667,-97.783333,0.11,15.32,30.76,2.1,66.9,2.95,80.47,18.8
202303,2023,3,17.866667,-97.783333,0.34,18.99,32.34,6.64,58.59,2.35,80.37,20.9
202304,2023,4,17.866667,-97.783333,1.34,20.43,33.89,10.27,57.53,2.4,80.32,33.94
202305,2023,5,17.866667,-97.783333,1.66,20.83,32.26,11.49,61.76,2.19,80.4,57.97
202306,2023,6,17.866667,-97.783333,1.07,21.5,33.36,12.03,63.24,2.53,80.36,44.36
202307,2023,7,17.866667,-97.783333,3.92,18.7,30.55,10.72,74.41,3.23,80.54,75.48
202308,2023,8,17.866667,-97.783333,7.64,18.27,28.39,10.05,78.5,2.64,80.47,76.32
202309,2023,9,17.866667,-97.783333,1.96,18.0,27.64,9.8,78.18,2.63,80.46,54.01
202310,2023,10,17.866667,-97.783333,2.79,17.27,27.09,7.51,80.56,2.71,80.34,72.11
202311,2023,11,17.866667,-97.783333,1.92,15.64,27.71,7.18,79.67,2.89,80.46,51.68
202312,2023,12,17.866667,-97.783333,0.73,13.55,25.48,-0.25,78.78,2.87,80.5,46.44
202313,2023,13,17.866667,-97.783333,1.98,17.76,33.89,-0.25,70.51,2.65,80.43,47.63
202401,2024,1,17.866667,-97.783333,0.36,15.75,28.7,5.07,68.86,2.4,80.47,28.72
202402,2024,2,17.866667,-97.783333,0.33,16.59,31.17,1.49,58.99,2.42,80.43,17.29
202403,2024,3,17.866667,-97.783333,0.16,20.59,33.73,8.82,50.23,2.28,80.36,19.09
202404,2024,4,17.866667,-97.783333,0.41,21.21,34.29,8.85,53.04,2.66,80.41,25.32
202405,2024,5,17.866667,-97.783333,0.99,23.92,36.48,14.1,49.45,2.14,80.31,40.78
202406,2024,6,17.866667,-97.783333,5.62,20.98,34.41,13.06,65.16,2.23,80.25,75.33
202407,2024,7,17.866667,-97.783333,5.69,18.22,26.9,10.94,79.05,2.65,80.51,78.26
202408,2024,8,17.866667,-97.783333,5.31,17.93,26.41,10.58,80.1,2.64,80.56,75.84
202409,2024,9,17.866667,-97.783333,7.54,18.15,26.2,11.52,84.41,1.77,80.28,87.19
202410,2024,10,17.866667,-97.783333,2.49,15.4,23.81,5.89,83.87,3.02,80.5,65.25
202411,2024,11,17.866667,-97.783333,0.32,15.6,25.97,2.35,77.68,2.31,80.38,29.11
202412,2024,12,17.866667,-97.783333,0.09,13.37,25.56,3.45,74.71,2.86,80.6,33.67
202413,2024,13,17.866667,-97.783333,2.44,18.14,36.48,1.49,68.84,2.45,80.42,48.09
