Date,Year,Month,Precipitation_mm_per_day,Latitude,Longitude
202403,2024,3,0.55,17.060816,-96.726588
202404,2024,4,0.88,17.060816,-96.726588
202405,2024,5,0.82,17.060816,-96.726588
202406,2024,6,8.57,17.060816,-96.726588
202407,2024,7,5.27,17.060816,-96.726588
202408,2024,8,6.01,17.060816,-96.726588
202409,2024,9,9.54,17.060816,-96.726588
202410,2024,10,4.07,17.060816,-96.726588
202411,2024,11,0.58,17.060816,-96.726588
202412,2024,12,0.23,17.060816,-96.726588
202413,2024,13,3.09,17.060816,-96.726588
202001,2020,1,0.12,16.8531,-99.8901
202002,2020,2,0.09,16.8531,-99.8901
202003,2020,3,0.03,16.8531,-99.8901
202004,2020,4,0.13,16.8531,-99.8901
202005,2020,5,0.19,16.8531,-99.8901
202006,2020,6,7.22,16.8531,-99.8901
202007,2020,7,5.56,16.8531,-99.8901
202008,2020,8,16.68,16.8531,-99.8901
202009,2020,9,10.49,16.8531,-99.8901
202010,2020,10,2.87,16.8531,-99.8901
202011,2020,11,0.24,16.8531,-99.8901
202012,2020,12,0.11,16.8531,-99.8901
202013,2020,13,3.65,16.8531,-99.8901
202101,2021,1,0.05,16.8531,-99.8901
202102,2021,2,0.19,16.8531,-99.8901
202103,2021,3,0.49,16.8531,-99.8901
202104,2021,4,0.09,16.8531,-99.8901
202105,2021,5,1.45,16.8531,-99.8901
202106,2021,6,15.75,16.8531,-99.8901
202107,2021,7,7.33,16.8531,-99.8901
202108,2021,8,14.25,16.8531,-99.8901
202109,2021,9,10.82,16.8531,-99.8901
202110,2021,10,8.11,16.8531,-99.8901
202111,2021,11,0.17,16.8531,-99.8901
202112,2021,12,0.01,16.8531,-99.8901
202113,2021,13,4.91,16.8531,-99.8901
202201,2022,1,0.21,16.8531,-99.8901
202202,2022,2,0.02,16.8531,-99.8901
202203,2022,3,0.0,16.8531,-99.8901
202204,2022,4,0.24,16.8531,-99.8901
202205,2022,5,2.93,16.8531,-99.8901
202206,2022,6,14.55,16.8531,-99.8901
202207,2022,7,8.4,16.8531,-99.8901
202208,2022,8,6.64,16.8531,-99.8901
202209,2022,9,14.51,16.8531,-99.8901
202210,2022,10,5.11,16.8531,-99.8901
202211,2022,11,0.2,16.8531,-99.8901
202212,2022,12,0.09,16.8531,-99.8901
202213,2022,13,4.41,16.8531,-99.8901
202301,2023,1,0.0,16.8531,-99.8901
202302,2023,2,0.0,16.8531,-99.8901
202303,2023,3,0.01,16.8531,-99.8901
202304,2023,4,2.42,16.8531,-99.8901
202305,2023,5,3.22,16.8531,-99.8901
202306,2023,6,2.38,16.8531,-99.8901
202307,2023,7,4.59,16.8531,-99.8901
202308,2023,8,6.45,16.8531,-99.8901
202309,2023,9,4.81,16.8531,-99.8901
202310,2023,10,14.27,16.8531,-99.8901
202311,2023,11,1.47,16.8531,-99.8901
202312,2023,12,0.32,16.8531,-99.8901
202313,2023,13,3.36,16.8531,-99.8901
202401,2024,1,0.15,16.8531,-99.8901
202402,2024,2,0.2,16.8531,-99.8901
202403,2024,3,0.01,16.8531,-99.8901
202404,2024,4,0.03,16.8531,-99.8901
202405,2024,5,0.17,16.8531,-99.8901
202406,2024,6,2.17,16.8531,-99.8901
202407,2024,7,4.28,16.8531,-99.8901
202408,2024,8,6.07,16.8531,-99.8901
202409,2024,9,15.83,16.8531,-99.8901
202410,2024,10,3.39,16.8531,-99.8901
202411,2024,11,0.42,16.8531,-99.8901
202412,2024,12,0.03,16.8531,-99.8901
202413,2024,13,2.72,16.8531,-99.8901
202001,2020,1,0.06,16.4333,-98.6
202002,2020,2,0.03,16.4333,-98.6
202003,2020,3,0.0,16.4333,-98.6
202004,2020,4,0.22,16.4333,-98.6
202005,2020,5,0.54,16.4333,-98.6
202006,2020,6,5.44,16.4333,-98.6
202007,2020,7,6.24,16.4333,-98.6
202008,2020,8,15.95,16.4333,-98.6
202009,2020,9,10.46,16.4333,-98.6
202010,2020,10,4.54,16.4333,-98.6
202011,2020,11,0.57,16.4333,-98.6
202012,2020,12,0.53,16.4333,-98.6
202013,2020,13,3.73,16.4333,-98.6
202101,2021,1,0.1,16.4333,-98.6
202102,2021,2,0.12,16.4333,-98.6
202103,2021,3,0.09,16.4333,-98.6
202104,2021,4,0.07,16.4333,-98.6
202105,2021,5,2.76,16.4333,-98.6
202106,2021,6,12.5,16.4333,-98.6
202107,2021,7,8.22,16.4333,-98.6
202108,2021,8,11.73,16.4333,-98.6
202109,2021,9,12.48,16.4333,-98.6
202110,2021,10,7.36,16.4333,-98.6
202111,2021,11,0.22,16.4333,-98.6
202112,2021,12,0.0,16.4333,-98.6
202113,2021,13,4.66,16.4333,-98.6
202201,2022,1,0.31,16.4333,-98.6
202202,2022,2,0.02,16.4333,-98.6
202203,2022,3,0.03,16.4333,-98.6
202204,2022,4,0.48,16.4333,-98.6
202205,2022,5,1.96,16.4333,-98.6
202206,2022,6,10.44,16.4333,-98.6
202207,2022,7,7.77,16.4333,-98.6
202208,2022,8,6.97,16.4333,-98.6
202209,2022,9,18.27,16.4333,-98.6
202210,2022,10,4.9,16.4333,-98.6
202211,2022,11,0.33,16.4333,-98.6
202212,2022,12,0.09,16.4333,-98.6
202213,2022,13,4.3,16.4333,-98.6
202301,2023,1,0.0,16.4333,-98.6
202302,2023,2,0.0,16.4333,-98.6
202303,2023,3,0.02,16.4333,-98.6
202304,2023,4,0.63,16.4333,-98.6
202305,2023,5,2.36,16.4333,-98.6
202306,2023,6,3.85,16.4333,-98.6
202307,2023,7,3.71,16.4333,-98.6
202308,2023,8,6.41,16.4333,-98.6
202309,2023,9,3.53,16.4333,-98.6
202310,2023,10,8.47,16.4333,-98.6
202311,2023,11,2.59,16.4333,-98.6
202312,2023,12,0.11,16.4333,-98.6
202313,2023,13,2.66,16.4333,-98.6
202401,2024,1,0.08,16.4333,-98.6
202402,2024,2,0.15,16.4333,-98.6
202403,2024,3,0.01,16.4333,-98.6
202404,2024,4,0.08,16.4333,-98.6
202405,2024,5,0.21,16.4333,-98.6
202406,2024,6,4.28,16.4333,-98.6
202407,2024,7,5.51,16.4333,-98.6
202408,2024,8,7.05,16.4333,-98.6
202409,2024,9,17.44,16.4333,-98.6
202410,2024,10,3.68,16.4333,-98.6
202411,2024,11,0.5,16.4333,-98.6
202412,2024,12,0.26,16.4333,-98.6
202413,2024,13,3.26,16.4333,-98.6
